"no";"title";"imgLink";"type"
1;"색칠하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";1
2;"그림 그리기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";1
3;"1부터 천천히 숫자 세기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/718e66b7-7d74-41d8-b150-0cbedb38db7c.png";1
4;"다섯 번 심호흡하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/718e66b7-7d74-41d8-b150-0cbedb38db7c.png";1
5;"따뜻한 차나 물 마시기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/718e66b7-7d74-41d8-b150-0cbedb38db7c.png";1
6;"욕조에 몸 담그기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/718e66b7-7d74-41d8-b150-0cbedb38db7c.png";1
7;"내 커리어 계획해보기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/718e66b7-7d74-41d8-b150-0cbedb38db7c.png";1
8;"작은 물건 수집하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";1
9;"짧은 휴가 떠나기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/39eb4072-e6ea-432c-94e3-04b6c6ca1f26.png";1
10;"오래된 물건 재활용하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";1
11;"데이트하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/ee4bdb7a-0c04-4eb6-8a8e-2cc7c7a5fde1.png";0
12;"영화 보기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";0
13;"걷거나 조깅하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/749e2ef5-d39d-4ad7-bafc-e25d287142b8.png";1
14;"음악 듣기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";1
15;"하루를 무사히 보낸 것에 대해 스스로 칭찬하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/718e66b7-7d74-41d8-b150-0cbedb38db7c.png";1
16;"행복했던 기억 떠올리기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/718e66b7-7d74-41d8-b150-0cbedb38db7c.png";1
17;"작은 인테리어 소품 사기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";1
18;"팀으로 하는 스포츠 참여하기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/ee4bdb7a-0c04-4eb6-8a8e-2cc7c7a5fde1.png";0
19;"크게 웃기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/718e66b7-7d74-41d8-b150-0cbedb38db7c.png";0
20;"여행 갔던 기억을 떠올리기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/718e66b7-7d74-41d8-b150-0cbedb38db7c.png";1
21;"다른 사람의 말을 경청해보기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/ee4bdb7a-0c04-4eb6-8a8e-2cc7c7a5fde1.png";1
22;"잡지나 신문 읽기";"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/5741bf82-a2f5-468c-8286-6d6dbc019dae.png";1
