"no";"descr";"author";"date"
0;"";0;"2022-02-15 05:58:56"
44;"ㅎㅇ";42;"2022-02-17 13:23:41"
50;"안녕";45;"2022-02-17 14:59:49"
51;"하하하";47;"2022-02-17 15:03:02"
52;"dddd";47;"2022-02-17 15:05:51"
53;"ddd";47;"2022-02-17 15:06:37"
54;"안녕";47;"2022-02-17 15:42:36"
55;"댓글을 달수있";45;"2022-02-17 16:14:10"
56;"ㅎㅎㅎㅎㅎㅎㅎㅎ";47;"2022-02-17 16:16:39"
57;"ㅁㄴㅇㅁㄴ";47;"2022-02-17 16:17:59"
58;"ㅁㄴㄻㄴㄹ";47;"2022-02-17 16:18:11"
59;"dd";47;"2022-02-17 16:18:51"
60;"asdasf";47;"2022-02-17 16:19:55"
62;"안녕";47;"2022-02-17 17:00:13"
63;"ㅇㅇㅇㅇ";47;"2022-02-17 17:01:01"
64;"ㅁㄴㄻㄴㅁㄹ";47;"2022-02-17 17:01:24"
65;"나도";43;"2022-02-17 18:14:51"
66;"친구해요";49;"2022-02-17 18:15:59"
67;"나도 바다보고 싶다";43;"2022-02-17 18:27:26"
68;"ㅜㅠ";43;"2022-02-17 18:27:58"
69;"또 먹고싶네";41;"2022-02-17 18:37:57"
70;"나는 잠 자고 싶을 때 독서~ㅎ";41;"2022-02-17 18:38:42"
71;"돈을 써서 행복한데 없어지면 돈 벌려면 다시 불행하고";43;"2022-02-17 18:45:57"
72;"화이팅!!!";49;"2022-02-17 18:52:03"
74;"감사해요";49;"2022-02-17 19:57:52"
75;"친구해요";49;"2022-02-17 19:58:10"
81;"안녕";47;"2022-02-18 10:56:36"
82;"나도 바다보고 싶다";43;"2022-02-18 10:56:46"
83;"나도나도";41;"2022-02-18 11:03:55"
