"no";"descr";"author";"date"
0;"";0;"2022-02-15 05:57:19"
51;"카톡!";45;"2022-02-17 14:59:02"
52;"우와";45;"2022-02-17 16:13:40"
54;"";41;"2022-02-17 16:36:09"
55;"ㅎㅎ";40;"2022-02-17 16:59:47"
63;"호정이랑 상후 만나서 족발 먹었당~~ 행복 :D";43;"2022-02-17 17:26:52"
64;"울적해서 태화강 산책했다ㅠㅠ 날씨는 좋아서 기분이 좀 나아진 것 같아~~~~";43;"2022-02-17 17:28:29"
66;"화날 땐 독서로 마음을 가라앉히기^^";43;"2022-02-17 17:44:49"
67;"자고 싶다....";49;"2022-02-17 18:13:41"
68;"다 들어와 들어와~ 뺑!";48;"2022-02-17 18:16:24"
69;"마라탕 내 스타일인 듯 매운맛 별거 아니네";41;"2022-02-17 18:19:24"
70;"문현동 살면서 좋은점,, 광안리 가깝다
울적할 때는 밤바다 걷기가 최고";41;"2022-02-17 18:24:26"
71;"햇빛 받으면서 광합성 하는중.. 아 썬크림 안발랐네";41;"2022-02-17 18:27:52"
72;"집에만 있는데 왜 피부가 안좋아지냐 
나이가..,들어,,..ㅅ ㅓ";41;"2022-02-17 18:32:02"
73;"1년만에 만난친구랑 집에 회쏘 저기에 치킨도 더 먹음,,,ㅎ";41;"2022-02-17 18:33:38"
74;"행복해서 돈을 쓰는가
돈을 써서 행복한가ㅎ";41;"2022-02-17 18:36:13"
75;"";41;"2022-02-17 19:14:39"
76;"자고 싶어요!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~";49;"2022-02-17 19:23:40"
77;"자고 싶어요!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~";49;"2022-02-17 19:23:42"
78;"자고 싶어요!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~";49;"2022-02-17 19:23:43"
79;"자고 싶어요!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~";49;"2022-02-17 19:23:44"
80;"자고 싶어요!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~";49;"2022-02-17 19:23:44"
81;"자고 싶어요!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~";49;"2022-02-17 19:25:14"
82;"대구에서 먹방 찍었다
맛있으면 0칼...로....ㄹㅣ>?";41;"2022-02-17 19:27:51"
83;"~!~!!!!!!!!!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~!~!!!!!!!!!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~!~!!!!!!!!!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~!~!!!!!!!!!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~!~!!!!!!!!!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~!~!!!!!!!!!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~!~!!!!!!!!!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~!~!!!!!!!!!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~!~!!!!!!!!!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~!~!!!!!!!!!!!!!!!!!!!!!!!!!!!!~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~";43;"2022-02-17 19:35:07"
