"feedNo";"tagNo"
51;5
51;8
51;138
51;139
52;7
52;34
52;138
52;140
52;141
52;142
52;143
54;2
54;16
55;4
55;11
63;1
63;37
63;138
63;149
63;150
63;151
63;152
64;2
64;18
64;138
64;153
64;154
64;155
66;6
66;20
66;138
66;156
66;157
67;2
67;18
67;138
67;158
67;159
67;160
68;1
68;27
68;138
68;161
68;162
69;6
69;35
69;138
69;163
69;164
70;2
70;9
70;138
70;165
70;166
71;5
71;9
71;138
71;167
71;168
71;169
72;4
72;8
72;138
72;170
72;171
73;2
73;37
73;138
73;172
73;173
73;174
74;1
74;39
74;138
74;175
75;1
75;35
76;5
76;42
77;5
77;42
78;5
78;42
79;5
79;42
80;5
80;42
81;5
81;42
82;1
82;9
82;138
82;176
82;177
82;178
82;179
83;1
83;8
84;1
84;8
85;1
85;8
86;1
86;9
87;1
87;9
88;5
88;42
88;138
88;180
88;181
94;3
94;28
94;138
95;1
95;35
95;138
95;184
95;185
95;186
95;187
96;1
96;35
96;138
96;188
96;189
96;190
96;191
97;1
97;19
97;138
97;192
97;193
98;6
98;35
98;138
98;194
98;195
98;196
101;2
101;9
101;138
101;198
101;199
106;4
106;12
106;138
106;204
107;2
107;8
107;138
107;205
108;18
108;138
108;206
108;207
108;208
108;209
108;210
123;4
123;8
123;212
124;4
124;8
124;212
125;17
125;206
126;4
126;8
126;212
127;4
127;8
127;212
128;4
128;8
128;212
