"no";"title";"descr";"year";"imgLink";"genre"
5;"포룸";"새해 전날 밤, LA 몽시뇰 호텔에서 첫근무를 하게 된 괴짜 벨보이 테드는 상상조차 할 수 없는 최악의 밤을 맞이한다. 허니문 스위트룸에 투숙한 마녀들의 부활의식에 야릇한 제물로 걸려드는가 하면, 얼음 배달차 들른 룸 404호의 악당 지그프리드는 아내의 정부라고 오해를 한다. 5백 달러를 받고 돌봐주기로 한 룸 309호 갱스터 부부의 꼬마 악동들은 시끌벅적한 소란을 벌이며 방 한 칸을 홀라당 날려버린다. 마지막 펜트하우스 특실 룸에는 할리우드 최고의 코미디언 체스터 러쉬와 그의 친구들이 벌이는 잔인한 내기에 엉겁결에 끼어들게 된 테드는 피할 수 없는 희생양이 될 판이 된다.";"1995-12-09";"https://image.tmdb.org/t/p/original/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg";"[80,35]"
6;"킬러 나이트";"어느날 프랭크(Frank Wyatt: 에밀리오 에스테베즈 분)와 마이크(Mike Peterson: 쿠바 구딩 주니어 분), 그리고 레이(Ray Cochran: 제레미 피번 분)와 프랭크의 동생 존(John Wyatt: 스티븐 도프 분)은 권투시합을 구경하기 위해 레이가 빌린 이동주택차를 몰고 시합장으로 간다. 그러나 꽉 막힌 교통에 지친 레이는 지름길로 간다며 빈민가로 들어간다. 긴장했던 탓에 그들은 차옆에 쓰러져 있는 사람을 자신들이 친줄 알고 차안으로 끌어들인다. 그리고 그 남자가 총상을 입은 것을 보고 놀란다. 갑자기 나타난 필론(Fallon: 데니스 레리 분)이란 악당들은 총상을 입은 사람이 필론으로부터 돈을 훔쳤다며 그 자리에서 그를 죽인다. 이를 목격한 프랭크와 친구들은 증인마저 없애려 드는 그들에게서 도망친다. 그러나 전화조차 없고 도와주는 이 조차 없는 그들에게 상황은 점점 악화되어 간다. 가까스로 도움을 받아 경찰에 전화를 걸지만 경찰은 오지 않고 레이는 악당들의 손에 죽고 만다. 슈퍼마켓을 발견한 그들은 경찰을 오게 하려고 일부러 유리창을 깨지만 그곳까지 일당이 따라와 존과 마이크는 부상을 입게 되고 마지막까지 무사했던 프랭크는 도움을 청하겠다며 나갔다가 악당 일행 중 유일하게 살아남은 두목 필론과 정면으로 대결하게 되는데...";"1993-10-15";"https://image.tmdb.org/t/p/original/rYFAvSPlQUCebayLcxyK79yvtvV.jpg";"[28,53,80]"
11;"스타워즈 에피소드 4: 새로운 희망";"공화국이 붕괴하고 제국이 수립된 뒤 20년, 제다이 기사단은 전멸하고 강력한 제국군의 횡포에 은하계는 공포에 휩싸여 있다. 그러던 중 공화국 재건을 노리는 반란군이 제국군의 비밀병기 데스스타 설계도를 훔쳐 달아나고 제국군은 이를 쫓는다. 하지만 결국 제국의 손에 붙잡히게 된 그들은 드로이드 R2-D2에 설계도를 넣어서 R2의 친구 C-3PO와 탈출시키는 데 성공하고, 두 드로이드 콤비는 타투인의 시골 마을에서 숙부와 함께 살고 있던 청년 루크 스카이워커에게 오게 되는데...";"1977-05-25";"https://image.tmdb.org/t/p/original/7XFfURIFCJxN1mfBg0SAjk5yGzg.jpg";"[12,28,878]"
12;"니모를 찾아서";"광대어 말린은 아내 코랄과 2세들의 부화를 기다리던 중 상어의 습격을 받는다. 알을 보호하려던 아내는 행방불명되고, 유일하게 살아남은 아기에게 말린은 니모라는 이름을 붙인다. 사건 이후 큰 바다를 무조건 겁내게 된 말린은 니모를 과보호한다. 하지만 니모는 등교 첫날 잠수부에게 납치돼 시드니에 있는 치과의사의 수족관에 끌려가고, 슬픔으로 혼비백산한 아빠 말린은 평소의 심약함을 잊고니모를 찾아나선다. 단기기억상실증을 지닌 명랑한 물고기 도리의 도움으로 상어, 심해어, 해파리의 위협을 뚫고 동호주 해류로 향하는 동안, 니모는 수족관의 새 친구들과 탈출을 모의한다.";"2003-05-30";"https://image.tmdb.org/t/p/original/9ViCYfZ0whpwtKbM2WJP5PfsG2x.jpg";"[16,10751]"
13;"포레스트 검프";"불편한 다리, 남들보다 조금 떨어지는 지능을 가진 포레스트 검프는 헌신적인 어머니의 보살핌과 첫사랑 제니와의 만남으로 편견과 괴롭힘 속에서도 따뜻한 마음을 지니고 성장한다. 또래들의 괴롭힘을 피해 도망치던 포레스트는 누구보다 빠르게 달릴 수 있는 자신의 재능을 깨닫는다. 그의 재능을 알아 본 대학에서 그를 미식축구 선수로 발탁하고, 졸업 후에도 뛰어난 신체능력으로 군에 들어가 무공훈장을 수여받는 등 탄탄한 인생 가도에 오르게 된 포레스트. 하지만 어머니가 병에 걸려 죽음을 맞이하고, 첫사랑 제니 역시 그의 곁을 떠나가며 다시 한 번 인생의 전환점을 맞이하게 되는데...";"1994-07-06";"https://image.tmdb.org/t/p/original/xdJxoq0dtkchOkUz5UVKuxn7a2V.jpg";"[35,18,10749]"
14;"아메리칸 뷰티";"레스터 번햄은 좌절감으로 가득 찬 잡지사 직원으로 하루하루를 무기력 속에서 살아간다. 부동산 소개업자로 일하는 아내 케롤린은 수완가로 자처하고 완벽주의를 외치며 물질만능의 길을 추구한다. 둘의 결혼생활은 단지 남들에게 과시하기 위한 형식뿐이고, 외동딸 제인은 아버지가 사라져 주길 바랄 정도로 미워한다. 제인의 학교를 방문한 레스터는 딸의 되바라진 친구 안젤라를 보는 순간 한 눈에 욕정을 품게 된다. 레스터는 기억 속에서 이미 사라진 자신의 소년기를 회복하려는 듯이 자유를 추구하는데...";"1999-09-15";"https://image.tmdb.org/t/p/original/osdwif0XkFgalOCPksm4Yvczyzc.jpg";"[18]"
15;"시민 케인";"1940년 뉴욕 인 콰이어러지를 비롯, 수 많은 신문들의 발행인이었던 찰스 포스터 케인이 죽는다. 그는 당시 70세로 세계에서 손꼽히는 부자였으며, 죽음 직전에는 플로리다의 대저택에서 은둔 생활을 하고 있었다. 생전에 많은 정치인과도 친분을 맺고 있었고, 미국 정책에 막강한 영향력을 발휘하기도 했던 그는 자신에 대한 여러 얘기들에 대해 ""나는 현재 미국인이고 과거에도 미국인이었으며 앞으로도 항상 미국인일 것이다""라고 일축하곤 했다. 잡지 편집장 록스톤은 그의 죽음을 취재하고자 기자 톰슨에게 케인이 죽기 전에 말했다는 장미꽃 봉오리가 무슨 뜻인지 알아오라고 한다. 톰슨은 케인의 주변 인물을 샅샅이 취재하기 시작하는데...";"1941-04-17";"https://image.tmdb.org/t/p/original/sav0jxhqiH0bPr2vZFU0Kjt2nZL.jpg";"[9648,18]"
16;"어둠 속의 댄서";"체코에서 이민 온 가난한 노동자 셀마(비욕)는 유전병으로 시력을 잃어 가면서도 뮤지컬 같은 세상을 꿈꾸며 살아 간다. 그녀의 유일한 희망은 같은 병을 앓는 아들 진이 장님이 되기 전에 눈을 수술해 주는 것.  셀마는 밤낮 없이 일해 수술비를 거의 다 모으지만 믿었던 이웃이자 경찰인 빌(데이비드 모스)이 그녀의 돈을 훔쳐 간다. 절망한 셀마는 빌과 다투다 권총으로 그를 살해하고 만다. 빌은 죄책감 때문에 셀마에게 자신을 죽여달라고 애원했었지만 누구도 셀마의 말을 믿어 주지 않는데...";"2000-06-30";"https://image.tmdb.org/t/p/original/vEemEVzFgK6a8YQLIyHkwqcYKFI.jpg";"[18,80]"
18;"제5원소";"1914년 이집트. 한 노학자가 피라미드의 벽에 새겨진 5개 원소의 비밀을 밝혀낸다. 2259년 뉴욕. 지구에 거대한 행성이 다가와 대통령을 비롯한 전 군대는 비상상태에 빠진다. 지구를 구할 4개 원소를 가진 몬도샤인들은 지구로 오는 도중에 모두 죽게 되고 과학자들은 남은 팔로 유전자 합성을 통해 빨간 머리 소녀 리루를 만든다. 리루는 과학자들에게서 도망치던 중 전직 연방 요원인 코벤을 만나고, 두 사람은 4개 원소를 찾기 위해 피라미드의 예언을 알고 있는 코넬리우스 신부와 함께 파라다이스 행성으로 간다. 한편 무기상인 조르그도 4개 원소를 손에 넣기 위해 그들을 뒤쫓는데...";"1997-05-02";"https://image.tmdb.org/t/p/original/npcHgyp5MmKMe4lWqJi2ma1CuhC.jpg";"[12,14,28,53,878]"
19;"메트로폴리스";"풍요로운 삶을 누리는 지상세계의 프레더는 어느날 마리아를 통해 지하 세계의 비참한 생활상을 알게된다. 프레더가 그의 아버지 프레드슨에게 노동자들의 삶을 개선해 줄 것을 요청하지만 거절당하고 오히려 마리아가 주도하는 지하 세계의 집회를 목격한 프레드슨은 로트왕에게 마리아와 똑같은 로봇을 만들어 지하세계의 노동자들을 교란할 것을 명령한다. 마리아를 복제한 로봇은 노동자를 선동하고, 지하세계는 홍수가 나며 공장이 노동자들에 의해 파괴된다. 그러나 마침내 지상세계에 모여든 노동자들은 로봇의 정체를 알게 되고, 프레더의 중재로 프레드슨과 화해의 악수를 나누다.";"1927-02-06";"https://image.tmdb.org/t/p/original/vODOVn29fr0nLF9MVfpfKDcxuXF.jpg";"[18,878]"
