"no";"userNo";"name";"date";"tagNo";"type";"imgLink"
0;0;"";"2022-02-15 05:58:33";0;1;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
47;43;"신날 때 듣는 경쾌한 노래";"2022-02-17 12:04:26";1;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
71;46;"eqeqw";"2022-02-17 14:43:48";4;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
77;45;"테스트 2";"2022-02-17 16:12:25";3;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
78;40;"gdgd";"2022-02-17 16:15:11";4;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
80;43;"우울할 때 듣는 잔잔한 노래";"2022-02-17 17:29:03";2;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
81;43;"놀랐을 때 진정되는 클래식 음악";"2022-02-17 17:30:11";5;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
82;43;"기운없을 때 보고싶은 영화";"2022-02-17 17:32:21";2;1;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
83;43;"우울할 때 하면 좋은 활동";"2022-02-17 17:39:40";2;2;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
84;48;"청소시간";"2022-02-17 17:39:55";1;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
85;43;"화났을 때 듣는 음악";"2022-02-17 17:42:04";6;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
86;42;"어우 놀래라";"2022-02-17 17:59:12";5;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
87;42;"놀라는 영호아";"2022-02-17 17:59:55";5;1;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
88;40;"영화잼땅";"2022-02-17 18:02:39";4;1;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
89;40;"이거 잼겠당";"2022-02-17 18:02:51";4;2;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
90;49;"우울함";"2022-02-17 18:16:46";2;1;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
92;41;"다같이 웃어요";"2022-02-17 18:43:04";1;1;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
93;41;"룰루랄라";"2022-02-17 19:10:17";1;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
94;43;"애니메이션";"2022-02-17 19:32:05";1;1;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
95;41;"바운스";"2022-02-17 20:50:32";3;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
102;42;"활동!";"2022-02-18 11:06:11";3;2;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
105;62;"행복행성 음악";"2022-02-18 11:28:42";1;0;"https://emotionplanet.s3.ap-northeast-2.amazonaws.com/roc.png"
