"no";"name";"type"
0;"";0
1;"행복";1
2;"우울";1
3;"떠돌";1
4;"공포";1
5;"깜짝";1
6;"분노";1
7;"심심";1
8;"했어요";0
9;"갔어요";0
10;"뛰었어요";0
11;"움직였어요";0
12;"탔어요";0
13;"찼어요";0
14;"쳤어요";0
15;"걸었어요";0
16;"들었어요";0
17;"올라갔다";0
18;"봤어요";0
19;"만들었어요";0
20;"읽었어요";0
21;"배웠어요";0
22;"춤췄어요";0
23;"노래 불렀어요";0
24;"그렸어요";0
25;"썻어요";0
26;"마셨어요";0
27;"놀았어요";0
28;"잤어요";0
29;"쉬었어요";0
30;"누웠어요";0
31;"앉았어요";0
32;"멍때렸어요";0
33;"얘기했어요";0
34;"일했어요";0
35;"먹었어요";0
36;"공부했어요";0
37;"만났어요";0
38;"씻었어요";0
39;"샀어요";0
40;"치웠어요";0
41;"버렸어요";0
42;"울었어요";0
43;"싸웠어요";0
44;"소리 질렀어요";0
45;"웃었어요";0
46;"던졌어요";0
47;"부쉈어요";0
48;"찢었어요";0
134;"ㅇㅇㅇ";0
135;"ㄹㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ";0
136;"ㄹㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ";0
137;"ㄹㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷㄷ";0
138;"";0
139;"카카오톡";0
140;"오늘";0
141;"싸피에서";0
142;"발표";0
143;"했다";0
144;"fefefe";0
145;"ㄹㄷㄷㄷㄷ";0
146;"ddd";0
147;"d";0
148;"eee";0
149;"불금";0
150;"맛있는거";0
151;"족발";0
152;"B2A4";0
153;"태화강";0
154;"산책";0
155;"날씨좋음";0
156;"독서";0
157;"마음의 양식";0
158;"아";0
159;"되라";0
160;"좀";0
161;"뱅";0
162;"보드게임";0
163;"마라탕";0
164;"신라면";0
165;"방바다";0
166;"광안대교";0
167;"자외선";0
168;"비타민D";0
169;"흡수";0
170;"팩";0
171;"메디힐";0
172;"닭발";0
173;"회";0
174;"소주";0
175;"뉴발";0
176;"대구";0
177;"눌눌";0
178;"태태";0
179;"영아";0
180;"길게 쓰면";0
181;"왜 안 되요?";0
182;"줬어요";0
184;"회식";0
185;"프로젝트";0
186;"끝";0
187;"자유";0
188;"주말";0
189;"조조 칼국수";0
190;"해물 파전";0
191;"JMT";0
192;"크로플";0
193;"붕어빵";0
194;"화날땐";0
195;"매운거";0
196;"엽떡";0
197;"살려줘";0
198;"제주도";0
199;"쓸쓸하다";0
200;"건강";0
201;"유산균";0
202;"눈영양제";0
203;"비타민";0
204;"도커";0
205;"우울해~~~~~~~~";0
206;"떠돌이";1
207;"안녕하세요";0
208;"감사해요";0
209;"잘 있어요";0
210;"다시 만나요";0
211;"힝 슬퍼";0
212;"로";0
